
 ++++++++++++++++++++++++++++++++++++++++++++++++
 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

 NREL-PhaseVI                            ***** XTurb-PSU  -  OUTPUT 2 *****
   Blade Number      BN =  2

   Solidity
   0.0519
                                  +    BLADE ELEMENT MOMENTUM THEORY (BEMT)   +

  PREDICTION
       VWIND [m/s] RPM [1/min]   PITCH [deg]
       5.0000      72.0000       3.0000

   Number   TSR      PITCH [deg]      CT       CP       CPV      CB       CBV
        1   7.5851   3.0000           0.5348  -0.3227   0.0848  -0.1883  -0.0016

   "Thrust"   >   0      =>      Downwind Direction
   "Torque"   <   0      =>      Energy Extraction 
 (Wind Turbine)   =>   Power = Torque * TSR
   "Bending"  <   0      =>      Flap Bending towards Downwind

   r/R     Chord/R Twist[deg] AOA[deg]  CL       CD
        CDP      CM       CThrust  CTorque  CNormal  CTangen
 ------------------------------------------------
 --------------------------------------------------------------
   0.2500   0.1465  24.8560   -0.2899    0.1450   0.0133   0.0067  -0.0431   0.1374  -0.0120   0.1449  -0.0141
   0.2750   0.1440  21.9732    0.5973    0.2160   0.0136   0.0069  -0.0450   0.2047  -0.0193   0.2162  -0.0113
   0.3000   0.1414  19.1080    1.4668    0.3184   0.0136   0.0071  -0.0473   0.3029  -0.0297   0.3186  -0.0055
   0.3250   0.1389  16.9803    2.0086    0.3824   0.0137   0.0073  -0.0488   0.3661  -0.0362   0.3827  -0.0003
   0.3500   0.1364  15.2840    2.3591    0.4238   0.0138   0.0075  -0.0498   0.4080  -0.0404   0.4240   0.0037
   0.3750   0.1339  13.6465    2.7100    0.4653   0.0138   0.0076  -0.0507   0.4503  -0.0442   0.4654   0.0082
   0.4000   0.1313  12.2696    2.9581    0.4946   0.0138   0.0076  -0.0514   0.4809  -0.0466   0.4947   0.0117
   0.4250   0.1288  11.1749    3.0871    0.5100   0.0138   0.0076  -0.0517   0.4977  -0.0477   0.5100   0.0136
   0.4500   0.1263  10.0891    3.2441    0.5288   0.0138   0.0077  -0.0522   0.5177  -0.0488   0.5287   0.0161
   0.4750   0.1238   9.2610    3.2939    0.5347   0.0139   0.0077  -0.0523   0.5250  -0.0488   0.5347   0.0169
   0.5000   0.1212   8.5110    3.3329    0.5394   0.0139   0.0077  -0.0524   0.5308  -0.0486   0.5393   0.0175
   0.5250   0.1187   7.8890    3.3325    0.5394   0.0139   0.0077  -0.0524   0.5318  -0.0480   0.5393   0.0175
   0.5500   0.1162   7.3390    3.3212    0.5380   0.0139   0.0077  -0.0524   0.5313  -0.0473   0.5379   0.0173
