
 NREL-PhaseVI                            ***** XTurb-PSU  -  OUTPUT *****
   Blade Number      BN =  2

   Solidity
   0.0519
                                  +    BLADE ELEMENT MOMENTUM THEORY (BEMT)   +
 PREDICTION
  Blade Radius     BRADIUS   =    5.03[m]
  Air Density      RHOAIR    =    1.225[kg/m**3]
  Air Dyn. Visc.   MUAIR     =    1.8E-005[kg/(m*s)]
  Number of Cases  NPRE      =   12

  Thrust           T = 0.5*RHOAIR*VWIND**2.*(pi*BRADIUS**2.)*CT
  Power            P = 0.5*RHOAIR*VWIND**3.*(pi*BRADIUS**2.)*CP
  Torque          TO = P / RPM
  Bending Moment  BE = 0.5*RHOAIR*VWIND**2.*(pi*BRADIUS**2.)*BRADIUS*CB

  Number  VWIND[m/s] RPM[1/min] TSR      PITCH[deg]    CT       CP       CB
             T[N]            P[W]            TO[Nm]          BE[Nm]
      1   5.0000     72.0000    7.5851   3.0000        0.5348  -0.3227  -0.1883        650.9103      -1963.9807       -260.4810      -1152.8286
      2   7.0000     72.0000    5.4179   3.0000        0.4979  -0.3495  -0.1717       1187.8178      -5836.7701       -774.1257      -2060.5209
      3   9.0000     72.0000    4.2139   3.0000        0.3756  -0.2681  -0.1310       1481.3002      -9515.0571      -1261.9736      -2598.6013
      4  10.0000     72.0000    3.7925   3.0000        0.3221  -0.2265  -0.1122       1567.9865     -11025.1376      -1462.2542      -2748.3634
      5  11.0000     72.0000    3.4478   3.0000        0.2782  -0.1904  -0.0969       1639.1025     -12336.4420      -1636.1714      -2869.8685
      6  13.0000     72.0000    2.9173   3.0000        0.2129  -0.1300  -0.0740       1751.4310     -13900.8038      -1843.6513      -3062.4243
      7  15.0000     72.0000    2.5284   3.0000        0.1696  -0.0871  -0.0586       1857.8061     -14311.9214      -1898.1775      -3229.3194
      8  17.0000     72.0000    2.2309   3.0000        0.1403  -0.0575  -0.0479       1973.5904     -13746.3302      -1823.1636      -3392.0023
      9  19.0000     72.0000    1.9961   3.0000        0.1203  -0.0379  -0.0406       2114.8869     -12658.2861      -1678.8573      -3586.5219
     10  21.0000     72.0000    1.8060   3.0000        0.1066  -0.0254  -0.0355       2289.1551     -11436.9244      -1516.8692      -3832.2362
     11  23.0000     72.0000    1.6489   3.0000        0.0969  -0.0172  -0.0319       2495.3865     -10208.3398      -1353.9231      -4127.3816
     12  25.0000     72.0000    1.5170   3.0000        0.0898  -0.0118  -0.0292       2732.9654      -8975.2976      -1190.3858      -4470.8588
